Symbol,Company Name,Industry,Prior Close,5 Day Chg_x by %,4 Week Chg_x by %,52 Week Chg by %,Refinitiv,Argus Analyst,Argus A6 Quantitative,MarketEdge,Morgan Stanley,SmartConsensus,TipRanks Analyst Consensus,TipRanks Blogger Sentiment,Vs. S&P 500 4 Weeks by %,Vs. S&P 500 13 Weeks by %,Vs. S&P 500 52 Weeks by %,P/E Ratio (TTM)* by x,Price/Sales Ratio by x,Price/Book Ratio by x,Price/Cash Flow by x,Debt to Capital by x,Return on Equity by %,Return on Assets by %,EPS Growth CFY* by %,EPS Growth NFY* by %,Revenue Growth CFY* by %,Revenue Growth NFY* by %,Dividend Yield by %,Dividend Growth 5 Year by %
MXL,Maxlinear Inc,Semiconductors & Semiconductor Equipment ,10.15,-8.04,-8.00,-51.00,0,0,0,0.5,0,0,0.5,1,13.48,-28.91,-43.64,--,2.79,2.04,0.00,19.98,-39.36,-23.61,0.00,196.30,22.89,19.30,0.00,0.00
MAYA,Maywood Acquisition Corp,Holding Companies,9.96,0.30,1.00,0.00,0,0,,0,0,,,,-5.36,0.00,0.00,--,0.00,1.43,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MAZE,Maze Therapeutics Inc,Biotechnology & Medical Research,8.38,9.95,-28.00,0.00,0,0,,0,0,,1,-1,24.00,-12.49,0.00,--,0.00,1.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MBX,MBX Biosciences Inc,Biotechnology & Medical Research,9.35,17.46,18.00,0.00,0,0,,0,0,,0.5,,26.70,10.74,0.00,--,0.00,1.78,0.00,0.00,-96.43,-45.74,0.00,0.00,0.00,0.00,0.00,0.00
MGRC,McGrath RentCorp,Professional & Commercial Services  ,106.32,-0.40,-9.00,-7.00,0,0,,1,0,0,0.5,1,3.39,-6.98,-6.56,11.87,3.07,2.48,8.20,32.99,22.80,10.52,-35.74,8.58,4.03,5.49,1.69,4.84
MDBH,MDB Capital Holdings LLC,Investment Banking & Investment Services,4.36,-2.71,-33.00,-52.00,0,0,,0,0,,,,-4.68,-35.88,-55.17,3.60,11.15,0.64,3.05,0.00,24.43,25.38,0.00,0.00,0.00,0.00,0.00,0.00
UOKA,MDJM Ltd,Real Estate Operations,0.13,22.10,-14.00,-86.00,0,0,,0,0,,,,-38.03,-37.59,-92.61,--,55.23,0.70,0.00,0.00,-85.52,-69.28,0.00,0.00,0.00,0.00,0.00,0.00
MDXH,MDxHealth SA,Biotechnology & Medical Research,1.80,8.42,17.00,-29.00,0,0,,0,0,,1,,11.79,15.98,-32.44,--,1.08,17.09,0.00,93.37,"-1,552.23",-26.14,57.76,51.02,21.08,17.30,0.00,0.00
MDRR,Medalist Diversified REIT Inc,Residential & Commercial REITs,11.89,1.90,-8.00,8.00,0,0,,0,0,,,,-10.07,-2.05,-6.08,--,1.71,1.16,9.80,65.81,-16.85,-2.87,0.00,0.00,0.00,0.00,2.26,-55.82
MFIN,Medallion Financial Corp,Banking Services,8.76,1.40,-2.00,13.00,1,0,,0,0,-1,0,1,0.38,21.46,6.95,5.90,0.98,0.58,4.31,0.00,10.39,1.61,-2.42,1.24,7.14,5.24,5.09,0.00
MDIA,Mediaco Holding Inc,Media & Publishing,1.10,4.69,2.00,-35.00,0,0,,0,0,,,,-19.06,-11.33,-26.95,--,0.54,0.72,16.54,56.80,-9.90,-0.62,0.00,0.00,0.00,0.00,0.00,0.00
MNOV,Medicinova Inc,Biotechnology & Medical Research,1.56,-0.72,8.00,19.00,0,0,,0,0,,,1,-15.87,-18.59,-10.10,--,0.00,1.36,0.00,0.00,-20.33,-19.35,-117.39,24.00,0.00,0.00,0.00,0.00
MDCX,Medicus Pharma Ltd,Pharmaceuticals,4.09,18.99,26.00,0.00,0,0,,0,0,,0.5,,67.83,83.06,94.90,--,0.00,44.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MRM^B10,Medirom Healthcare Technologies Inc(ADR),Personal &Household Products & Services,0.70,96.20,112.00,-87.00,0,0,,0,0,,,,89.12,105.51,-75.11,16.64,0.26,5.23,4.86,87.78,152.35,1.69,0.00,0.00,0.00,0.00,0.00,0.00
MDWD,Mediwound Ltd,Pharmaceuticals,18.29,1.75,13.00,-1.00,-1,0,,0,0,,1,1,5.91,14.45,4.93,--,10.87,7.05,0.00,17.29,-96.33,-43.19,12.54,3.77,18.53,24.87,0.00,0.00
MEDP,Medpace Holdings Inc,Biotechnology & Medical Research,298.18,-1.14,-4.00,-25.00,1,0,1,-1,0,-1,0,1,-9.17,-11.02,-31.71,22.36,3.91,14.69,18.90,0.00,65.82,22.55,0.48,3.62,3.53,3.46,0.00,0.00
MEIP,MEI Pharma Inc,Biotechnology & Medical Research,1.99,2.09,-11.00,-31.00,1,0,,0,0,,,1,-4.15,-13.07,-37.35,--,0.00,0.75,0.00,0.00,-89.74,-68.80,0.00,0.00,0.00,0.00,0.00,0.00
MHUA,Meihua International Medical Tech Co Ltd,Healthcare Equipment & Supplies,0.28,-4.73,-11.00,-56.00,0,0,,0,0,,,,20.07,14.02,-52.83,0.96,0.13,0.08,1.07,4.76,7.10,6.05,0.00,0.00,0.00,0.00,0.00,0.00
MGTX,MeiraGTx Holdings PLC,Biotechnology & Medical Research,6.81,0.40,-9.00,40.00,-1,0,,-1,0,-1,1,1,-27.47,-22.42,-18.79,--,11.78,12.14,0.00,68.95,-216.14,-62.76,83.96,0.00,355.91,73.19,0.00,0.00
WNW,Meiwu Technology Co Ltd,Diversified Retail,2.20,-7.03,8.00,-89.00,0,0,,0,0,,,,-18.03,-50.30,-93.02,0.49,34.38,1.84,1.05,0.00,14.87,12.55,0.00,0.00,0.00,0.00,0.00,0.00
MACI,Melar Acquisition Corp I,Holding Companies,10.30,0.19,1.00,0.00,0,0,,0,0,,,,-5.48,6.57,0.00,21.59,0.00,1.39,0.00,0.00,7.24,6.95,0.00,0.00,0.00,0.00,0.00,0.00
MLCO,Melco Resorts & Entertainment Ltd(ADR),Hotels & Entertainment Services,5.23,-2.84,-3.00,-20.00,0,0,,1,1,0,0.5,0,13.40,5.23,-34.86,43.62,0.53,0.00,4.74,114.77,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00
MELI,MercadoLibre Inc,Software & IT Services,"2,208.40",0.75,9.00,58.00,1,0,,1,1,1,1,1,10.97,29.30,36.31,64.10,5.90,26.29,49.01,56.25,49.11,8.82,31.07,39.57,28.96,24.12,0.00,0.00
MBWM,Mercantile Bank Corp,Banking Services,42.23,-4.36,-5.00,16.00,0,0,,1,0,1,0.5,1,-1.14,-4.23,2.92,9.22,3.12,1.18,8.27,0.00,13.55,1.34,-0.20,2.44,3.32,3.70,3.34,6.02
MERC,Mercer International Inc,Paper & Forest Products,4.56,-7.02,-25.00,-56.00,0,0,0,-1,0,-1,0,1,-22.94,-40.96,-65.04,--,0.12,0.57,3.10,77.58,-17.96,-3.67,33.86,0.00,0.41,6.11,8.09,-17.81
MBIN,Merchants Bancorp,Banking Services,33.60,-4.81,-12.00,-17.00,1,0,,0.5,0,,0.5,1,-9.71,-22.38,-30.80,5.82,2.24,0.90,5.79,0.00,17.18,1.59,0.00,0.00,0.00,0.00,1.26,5.15
MFH,Mercurity Fintech Holding Inc- ADR,Financial Technology (Fintech) & Infrastructure,7.75,-10.46,17.00,370.00,0,0,,0,0,,,,-31.82,-29.61,197.40,--,308.50,25.24,0.00,23.74,-21.63,-13.72,0.00,0.00,0.00,0.00,0.00,0.00
MRCY,Mercury Systems Inc,Aerospace & Defense,49.73,2.27,16.00,71.00,-1,0,0,1,0,0,1,-1,-11.62,14.08,32.92,--,3.16,1.90,152.36,28.96,-4.45,-2.71,0.00,114.29,5.72,6.18,0.00,0.00
MREO,Mereo BioPharma Group plc - ADR,Biotechnology & Medical Research,2.61,4.59,9.00,-9.00,-1,0,,0,0,,1,1,-15.73,-16.81,-30.73,--,0.00,6.03,0.00,0.00,-91.70,-75.95,0.00,0.00,0.00,0.00,0.00,0.00
MRBK,Meridian Corp,Banking Services,13.77,-6.80,-3.00,53.00,1,0,,0,0,,0.5,0,-11.02,-14.61,24.75,9.44,1.32,0.87,8.86,0.00,9.64,0.67,28.57,38.56,10.01,10.57,3.72,0.00
MMSI,Merit Medical Systems Inc,Healthcare Equipment & Supplies,95.44,-2.52,-9.00,28.00,0,0,0,0.5,0,0,1,1,-5.68,-5.74,5.19,46.65,4.05,3.93,23.17,33.84,9.16,5.10,-3.47,13.17,9.50,6.29,0.00,0.00
MRSN,Mersana Therapeutics Inc,Biotechnology & Medical Research,0.38,24.01,-4.00,-88.00,-1,0,,0,0,,1,,1.06,-22.65,-86.21,--,1.43,0.00,0.00,0.00,0.00,-47.62,0.00,0.00,0.00,0.00,0.00,0.00
MRUS,Merus NV,Biotechnology & Medical Research,45.28,3.79,-2.00,-3.00,0,0,,-1,0,-1,1,1,-11.96,-8.54,-12.93,--,52.61,4.83,0.00,0.00,-58.66,-45.13,-36.72,2.40,51.89,12.64,0.00,0.00
MESA,Mesa Air Group Inc,Passenger Transportation Services,1.11,3.92,47.00,25.00,0,0,,0,0,,,,-14.94,-9.76,-18.40,--,0.10,0.00,0.00,191.98,-472.57,-47.33,0.00,0.00,0.00,0.00,0.00,0.00
MLAB,Mesa Laboratories Inc,Healthcare Equipment & Supplies,117.11,-8.51,-3.00,13.00,-1,0,0,0,0,,,,-10.39,-20.32,-11.81,--,2.54,3.89,0.00,55.77,-89.38,-42.32,-69.50,268.70,11.26,4.74,0.58,0.00
MESO,Mesoblast Ltd (ADR),Biotechnology & Medical Research,11.42,-9.37,-2.00,89.00,0,0,,0,0,,0.5,1,-14.27,-34.18,24.69,--,244.13,2.71,0.00,21.47,-21.31,-15.62,17.98,46.58,191.04,269.23,0.00,0.00
META,Meta Platforms Inc,Software & IT Services,549.74,-1.14,-5.00,23.00,0,1,1,1,1,1,1,1,12.10,-4.07,23.62,24.34,9.40,8.68,19.03,13.48,40.69,27.06,6.79,10.52,13.56,14.01,0.33,0.00
MGX,Metagenomi Inc,Biotechnology & Medical Research,1.69,7.05,18.00,-77.00,-1,0,,0,0,,1,,-10.41,-28.33,-78.84,--,1.38,0.29,0.00,0.00,-31.93,-21.86,0.00,0.00,0.00,0.00,0.00,0.00
MATH,Metalpha Technology Holding Ltd,Software & IT Services,1.93,16.18,-3.00,14.00,0,0,,0,0,,,,62.27,29.85,73.03,17.10,3.42,4.23,16.94,1.19,34.82,3.85,0.00,0.00,0.00,0.00,0.00,0.00
MTVA,MetaVia Inc,Biotechnology & Medical Research,0.79,19.84,-48.00,-74.00,-1,0,,0,0,,0.5,1,-10.54,-48.29,-83.05,--,0.00,1.60,0.00,0.00,-339.64,-168.46,53.37,-3.01,0.00,0.00,0.00,0.00
MCBS,Metrocity Bankshares Inc,Banking Services,27.82,-5.75,1.00,15.00,0,0,,0,0,,0,1,-6.58,-4.66,0.07,10.79,4.90,1.65,10.23,0.00,16.05,1.81,5.16,20.75,13.31,31.75,3.30,14.60
MTSR,Metsera Inc,Biotechnology & Medical Research,19.81,9.51,-34.00,0.00,0,0,,0,0,,1,1,24.32,-7.18,0.00,--,0.00,5.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MFI,mF International Limited,Software & IT Services,0.63,10.49,-2.00,-74.00,0,0,,0,0,,,1,20.54,29.04,-39.86,--,3.18,2.31,0.00,14.44,-84.82,-43.86,0.00,0.00,0.00,0.00,0.00,0.00
MGEE,MGE Energy Inc,Electrical Utilities & IPPs,90.06,-2.29,-3.00,16.00,0,0,0,1,-1,0,-0.5,0,-7.41,2.90,1.27,25.35,4.64,2.60,13.74,37.88,10.62,4.65,10.81,6.50,5.09,3.02,2.01,4.93
MGPI,MGP Ingredients Inc,Beverages,29.43,-6.14,0.00,-64.00,0,0,0,1,0,0,1,0,-1.42,-1.20,-64.79,66.70,0.99,0.78,19.41,26.44,1.28,0.78,-55.85,10.04,-24.38,-2.26,1.58,3.71
MLGO,MicroAlgo Inc,Software & IT Services,7.11,20.89,-54.00,-84.00,-1,0,,0,0,,,-1,-76.56,97.59,-95.10,3.91,1.99,0.35,20.48,13.41,5.66,6.25,0.00,0.00,0.00,0.00,0.00,0.00
MBOT,Microbot Medical Inc,Biotechnology & Medical Research,2.69,-3.75,79.00,197.00,-1,0,,0,0,,0.5,,-0.71,57.38,116.17,--,0.00,3.08,0.00,0.00,-66.48,-61.02,45.21,0.00,0.00,0.00,0.00,0.00
MCHP,Microchip Technology Inc,Semiconductors & Semiconductor Equipment ,47.01,-4.52,-4.00,-50.00,0,1,-1,1,0,0,1,1,15.66,-5.46,-47.00,--,7.09,4.41,45.71,44.30,-0.04,0.00,3.05,84.44,3.63,21.72,3.14,19.91
HOLO,MicroCloud Hologram Inc,Software & IT Services,11.44,-14.80,-62.00,-99.00,0,0,,0,0,,,0,-62.38,-87.09,-99.62,--,0.69,0.04,0.00,0.33,-7.34,-7.24,0.00,0.00,0.00,0.00,0.00,0.00
MU,Micron Technology Inc,Semiconductors & Semiconductor Equipment ,78.56,-0.65,-10.00,-31.00,0,1,0,1,0,1,1,1,15.00,-3.76,-31.78,22.92,3.38,2.18,8.33,22.79,10.10,6.74,437.69,55.65,40.98,25.43,0.49,0.00
MSFT,Microsoft Corp,Software & IT Services,391.16,0.38,3.00,-4.00,1,1,1,1,1,1,1,1,10.26,14.46,-4.02,35.15,12.52,10.50,26.84,20.32,33.61,18.46,13.22,12.87,13.87,13.46,0.73,10.76
MSTR,MicroStrategy Inc,Software & IT Services,369.25,0.61,27.00,188.00,-1,0,0,1,0,0,1,1,7.05,29.14,120.33,--,237.80,3.30,0.00,19.54,-30.86,-21.21,-37.13,95.55,0.17,3.70,0.00,0.00
MVST,Microvast Holdings Inc,"Machinery, Equipment & Components",2.09,7.58,79.00,401.00,-1,0,,0,-1,,0.5,1,55.02,72.10,717.46,--,2.78,2.53,0.00,37.98,-21.76,-10.76,0.00,84.62,23.61,29.71,0.00,0.00
MVIS,Microvision Inc,Electronic Equipment & Parts,1.17,1.87,0.00,-19.00,-1,0,,0,0,,,-1,-15.43,-32.46,-14.64,--,62.76,5.03,0.00,36.16,-135.21,-82.50,32.50,29.63,496.25,86.33,0.00,0.00
MPB,Mid Penn Bancorp Inc,Banking Services,28.57,-5.55,8.00,33.00,1,0,,0,0,,0.5,1,-11.04,-2.63,12.67,9.36,3.42,0.78,10.93,0.00,8.38,0.94,-14.48,37.10,22.04,13.74,2.98,3.00
MFIC,MidCap Financial Investment Corp,Investment Banking & Investment Services,12.12,-1.33,-8.00,-21.00,0,0,,0.5,0,0,0.5,1,-0.69,-9.90,-24.31,10.26,3.78,0.85,0.00,58.14,8.64,3.57,-12.28,0.00,7.56,0.22,12.03,0.00
MIDD,Middleby Corp,"Machinery, Equipment & Components",130.58,-1.76,-14.00,-7.00,0,0,0,0.5,0,0,0.5,1,4.32,-9.32,3.58,18.38,2.04,2.12,14.02,39.01,12.33,6.06,-1.26,11.63,0.95,3.59,0.00,0.00
MBCN,Middlefield Banc Corp,Banking Services,25.67,-0.98,-6.00,17.00,0,0,,0,0,,0,,7.63,22.35,13.45,14.59,3.41,1.10,0.00,0.00,7.72,0.87,15.63,-1.35,9.49,5.02,2.88,7.01
MSEX,Middlesex Water Co,Water Utilities,61.45,0.12,-3.00,25.00,-1,0,0,-1,0,0,0.5,1,-13.40,18.01,-8.23,23.82,5.24,2.28,14.03,46.58,9.82,3.41,1.62,8.37,7.02,7.82,2.38,6.14
MSBI,Midland States Bancorp Inc,Banking Services,16.56,-8.81,-4.00,-26.00,0,0,,0.5,0,0,0,,-5.72,-10.60,-34.11,--,0.00,0.49,0.00,0.00,0.00,0.00,0.00,4.84,1.87,0.85,7.35,0.00
MOFG,Midwestone Financial Group Inc (IOWA),Banking Services,28.06,-4.46,-5.00,38.00,0,0,,1,0,0,0.5,1,-6.05,-5.17,17.81,--,7.20,1.02,0.00,0.00,-8.74,-0.74,0.00,9.29,27.95,6.34,3.41,3.67
MIST,Milestone Pharmaceuticals Inc,Biotechnology & Medical Research,1.35,20.87,45.00,-17.00,-1,0,,0,0,,0.5,1,3.57,-29.34,-27.85,--,0.00,0.00,0.00,112.71,-307.27,-65.78,0.00,0.00,0.00,0.00,0.00,0.00
MCVT,Mill City Ventures III Ltd,Banking Services,1.49,9.20,-11.00,-46.00,0,0,,0,0,,,,27.42,-13.50,-32.31,9.92,3.55,0.59,0.00,0.00,6.42,6.37,0.00,0.00,0.00,0.00,0.00,0.00
MGIH,Millennium Group Internationl Hldngs Ltd,Containers & Packaging,1.43,-12.56,-5.00,-3.00,0,0,,0,0,,,,-1.86,3.35,-0.60,--,0.44,0.55,0.00,15.24,-24.72,-17.08,0.00,0.00,0.00,0.00,0.00,0.00
MLKN,MillerKnoll Inc,Professional & Commercial Services  ,16.40,-6.60,-17.00,-36.00,0,0,0,0.5,0,-1,0,1,-5.26,-23.61,-44.26,39.28,0.31,0.89,6.17,50.17,2.28,0.85,-13.94,8.38,-0.18,3.48,4.53,-0.59
TIGO,Millicom International Cellular SA,Telecommunications Services,33.95,2.85,9.00,63.00,1,0,,0,0,,0.5,1,4.37,44.68,41.85,17.64,1.11,1.87,3.95,67.98,10.22,2.91,102.04,9.43,-3.83,2.72,4.07,0.00
MDXG,MiMedx Group Inc,Biotechnology & Medical Research,6.83,-5.22,-8.00,10.00,0,0,,0.5,0,0,1,1,-7.22,-10.36,-22.23,25.06,2.82,4.89,20.48,8.43,22.29,16.24,-10.71,32.00,7.41,11.43,0.00,0.00
MNDO,Mind CTI Ltd,Software & IT Services,1.68,-1.36,-7.00,-10.00,1,0,,0,0,,,,-18.73,-27.00,-30.12,6.45,1.38,1.22,6.13,0.00,18.98,14.86,0.00,0.00,0.00,0.00,15.17,-1.59
MNMD,Mind Medicine (MindMed) Inc,Biotechnology & Medical Research,6.36,7.94,1.00,-27.00,-1,0,,1,0,-1,1,1,3.23,-9.49,-23.54,--,0.00,2.40,0.00,9.00,-37.07,-28.18,0.00,0.00,0.00,0.00,0.00,0.00
MIND,Mind Technology Inc,Oil & Gas Related Equipment and Services,6.59,-5.95,11.00,57.00,-1,0,,0,0,-1,,1,-9.41,-38.03,31.33,2.09,1.07,1.84,13.41,0.00,70.45,14.45,11.59,0.00,5.18,0.00,0.00,0.00
MLYS,Mineralys Therapeutics Inc,Biotechnology & Medical Research,13.56,6.25,-9.00,12.00,-1,0,,1,0,0,1,1,8.74,79.32,18.41,--,0.00,3.10,0.00,0.00,-56.31,-53.69,0.00,0.00,0.00,0.00,0.00,0.00
NERV,Minerva Neurosciences Inc,Biotechnology & Medical Research,1.79,-6.75,-3.00,-28.00,-1,0,,0,0,,0,,-22.21,-17.48,-47.31,1.75,0.00,0.00,1.62,0.00,0.00,15.02,19.28,0.00,0.00,0.00,0.00,0.00
MSW,Ming Shing Group Holdings Ltd,Construction & Engineering,3.77,9.60,1.00,0.00,0,0,,0,0,,,,40.30,1.63,0.00,30.21,2.59,70.41,29.41,87.57,336.91,23.07,0.00,0.00,0.00,0.00,0.00,0.00
MTEN,Mingteng International Corp Inc,"Machinery, Equipment & Components",7.32,-17.53,27.00,83.00,0,0,,0,0,,,,55.05,145.25,84.60,88.31,9.26,8.10,69.41,12.89,8.55,5.63,0.00,0.00,0.00,0.00,0.00,0.00
YGMZ,MingZhu Logistics Holdings Ltd,Freight & Logistics Services,1.27,-4.93,58.00,-65.00,0,0,,0,0,,,,8.33,95.81,-58.46,--,2.56,0.20,0.00,7.66,-13.86,-5.70,0.00,0.00,0.00,0.00,0.00,0.00
INKT,Mink Therapeutics Inc,Biotechnology & Medical Research,7.50,-1.11,-15.00,-17.00,-1,0,,0,0,,0.5,,-11.12,-24.57,-35.50,--,0.00,0.00,0.00,0.00,0.00,-174.50,0.00,0.00,0.00,0.00,0.00,0.00
MIMI,Mint Incorporation Ltd,Construction & Engineering,4.18,0.19,-24.00,0.00,0,0,,0,0,,,,16.02,4.92,0.00,--,0.00,88.16,0.00,45.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MIRA,Mira Pharmaceuticals Inc,Biotechnology & Medical Research,1.03,-13.38,-2.00,21.00,-1,0,,0,0,,,,16.15,16.04,22.04,--,0.00,15.98,0.00,0.00,-355.82,-304.03,0.00,0.00,0.00,0.00,0.00,0.00
MIRM,Mirum Pharmaceuticals Inc,Pharmaceuticals,41.31,-2.72,-11.00,67.00,-1,0,,1,1,0,1,1,2.19,-13.23,52.62,--,5.75,9.34,0.00,56.95,-33.06,-11.52,47.57,36.08,31.53,16.29,0.00,0.00
MCW,Mister Car Wash Inc,Personal &Household Products & Services,7.15,-8.06,-10.00,-15.00,0,0,0,0.5,0,0,0.5,1,-6.38,-1.02,-8.25,28.94,2.26,2.22,14.06,45.63,8.21,2.68,18.92,11.36,6.44,7.72,0.00,0.00
MITK,Mitek Systems Inc,Software & IT Services,8.37,0.52,-2.00,-34.00,-1,0,,1,0,0,1,1,9.72,10.05,-30.07,35.70,2.49,2.01,14.82,40.57,6.11,3.16,-9.38,22.99,1.87,8.43,0.00,0.00
MKDW,MKDWELL Tech Inc,Automobiles & Auto Parts,0.29,0.61,-14.00,-97.00,0,0,,0,0,,,,9.92,-16.58,-97.19,--,23.64,0.00,0.00,503.80,0.00,-34.95,0.00,0.00,0.00,0.00,0.00,0.00
MKSI,MKS Inc,"Machinery, Equipment & Components",91.19,-6.91,33.00,-24.00,0,0,0,1,1,0,1,0,7.51,-17.58,-41.54,25.22,1.56,2.41,9.94,65.45,9.54,2.61,3.19,20.62,4.90,6.69,1.04,1.92
MTC^K10,MMTec Inc,Software & IT Services,1.13,-9.24,23.00,-95.00,0,0,,0,0,,,-1,-13.34,-18.05,-80.47,--,14.56,1.02,0.00,54.56,-125.31,-81.80,0.00,0.00,0.00,0.00,0.00,0.00
MNDR,Mobile-Health Network Solutions,Software & IT Services,1.44,2.29,-25.00,-99.00,0,0,,0,0,,,,-12.63,-81.34,-91.59,--,0.42,4.82,0.00,0.00,-827.24,-273.90,0.00,0.00,0.00,0.00,0.00,0.00
MBLY,Mobileye Global Inc,Integrated Hardware & Software,15.10,0.31,0.00,-48.00,0,0,,1,0,0,0.5,1,3.53,-5.77,-47.77,--,7.01,1.08,0.00,0.00,-22.18,-21.36,16.00,41.38,5.38,14.58,0.00,0.00
MOBX,"MOBIX LABS, INC.",Semiconductors & Semiconductor Equipment ,0.73,-7.11,-7.00,-77.00,-1,0,,0,0,,,1,-5.28,-40.48,-70.78,--,3.77,87.51,0.00,93.08,"-1,839.64",-125.23,0.00,0.00,0.00,0.00,0.00,0.00
MRNA,Moderna Inc,Biotechnology & Medical Research,27.46,12.98,-13.00,-75.00,-1,0,-1,0.5,0,0,0,1,-8.41,-17.05,-85.14,--,3.25,1.03,0.00,0.62,-29.34,-22.81,-9.27,24.06,-35.26,9.88,0.00,0.00
MODV,ModivCare Inc,Healthcare Providers & Services,1.40,2.17,5.00,-94.00,-1,0,0,0.5,0,-1,0,,-44.57,-82.81,-97.01,--,0.00,0.00,0.00,106.88,-951.52,-12.69,0.00,0.00,-5.23,4.92,0.00,0.00
MODD,Modular Medical Inc,Healthcare Equipment & Supplies,1.02,-15.93,-15.00,-41.00,0,0,,0,0,,,,-16.35,-19.86,-51.43,--,0.00,3.30,0.00,0.00,-257.72,-198.15,0.00,0.00,0.00,0.00,0.00,0.00
MOLN,Molecular Partners AG (ADR),Biotechnology & Medical Research,4.08,1.12,-8.00,8.00,0,0,,0,0,,1,1,-10.42,-17.05,-6.93,--,26.11,0.00,0.00,1.70,-33.98,-30.29,0.00,0.00,0.00,0.00,0.00,0.00
MBRX,Moleculin Biotech Inc,Biotechnology & Medical Research,0.99,3.05,2.00,-77.00,-1,0,,0,0,,1,,-20.52,-29.71,-83.20,--,0.00,316.09,0.00,0.00,-214.80,-89.59,73.42,11.31,0.00,0.00,0.00,0.00
MNTS,Momentus Inc,Aerospace & Defense,1.88,-16.06,-3.00,-72.00,-1,0,,0,0,,,,-19.95,-55.00,-80.17,--,4.66,0.00,0.00,0.00,0.00,-215.35,0.00,0.00,0.00,0.00,0.00,0.00
MCRI,Monarch Casino & Resort Inc,Hotels & Entertainment Services,77.22,-0.69,-1.00,14.00,0,0,0,0.5,0,0,0,1,-0.45,-7.59,13.46,20.74,2.87,2.82,11.93,0.00,14.24,10.70,1.81,2.97,2.27,2.41,1.47,0.00
MNDY,Monday.Com Ltd,Software & IT Services,274.56,-1.12,11.00,44.00,0,0,,1,0,-1,1,1,2.37,-1.51,6.78,293.71,14.18,13.36,225.27,0.00,5.39,3.26,8.57,20.26,25.82,23.25,0.00,0.00
MDLZ,Mondelez International Inc,Food & Tobacco,65.10,0.54,-3.00,-7.00,0,0,1,-1,1,0,0.5,1,-6.16,10.31,-15.28,24.35,2.33,3.29,19.10,43.07,13.27,4.28,-10.12,9.93,5.11,4.23,2.87,10.43
MNY,MoneyHero Ltd,Software & IT Services,0.79,-9.57,5.00,-64.00,-1,0,,0,0,,,,-16.16,-24.13,-70.82,--,0.39,0.61,0.00,1.50,-59.36,-38.57,0.00,0.00,0.00,0.00,0.00,0.00
MDB,Mongodb Inc,Software & IT Services,174.51,-1.01,-3.00,-55.00,0,1,0,0.5,1,0,1,1,2.22,-31.91,-52.58,--,7.68,5.45,0.00,1.33,-6.70,-4.10,-28.96,29.62,13.34,16.48,0.00,0.00
MGRM,Monogram Technologies Inc,Healthcare Equipment & Supplies,2.97,-3.68,5.00,21.00,0,0,,0,0,,0.5,,-13.99,13.84,19.00,--,0.00,0.00,0.00,0.00,-149.33,-114.77,0.00,0.00,0.00,0.00,0.00,0.00
MPWR,Monolithic Power Systems Inc,Semiconductors & Semiconductor Equipment ,585.21,-5.37,1.00,-14.00,0,0,0,1,0,0,1,1,8.67,2.04,-19.72,17.85,13.48,9.85,17.23,0.00,67.95,57.26,20.04,18.05,20.47,15.01,0.93,25.93
MNPR,Monopar Therapeutics Inc,Biotechnology & Medical Research,40.81,-10.39,6.00,"1,198.00",0,0,,1,0,0,1,0,-25.35,-9.42,947.66,--,0.00,4.04,0.00,0.00,-54.27,-51.78,0.00,0.00,0.00,0.00,0.00,0.00
MNRO,Monro Inc,Other Specialty Retailers,14.47,-1.16,-9.00,-48.00,-1,0,-1,0.5,0,0,0.5,,-17.58,-30.23,-55.21,21.67,0.32,0.59,4.33,33.75,2.82,1.16,-54.89,41.67,-6.81,2.91,8.75,7.50
MRCC,Monroe Capital Corp,Collective Investments ,7.12,-2.17,-5.00,0.00,0,0,,-1,0,-1,0,-1,-18.90,-24.05,-22.54,19.42,2.40,0.73,0.00,59.20,3.63,1.42,-26.96,-11.90,-9.15,-5.15,15.85,-6.51
MNST,Monster Beverage Corp,Beverages,58.49,0.87,1.00,10.00,0,1,1,1,1,1,0.5,1,0.74,28.56,7.56,41.50,8.23,9.40,38.44,3.08,20.00,16.48,14.81,11.29,5.93,7.97,0.00,0.00
MNTK,Montauk Renewables Inc,Electrical Utilities & IPPs,2.24,-12.56,6.00,-42.00,0,0,,0.5,0,-1,0,0,-21.43,-54.22,-64.78,37.49,1.55,1.08,8.67,16.96,2.90,2.09,0.00,0.00,0.00,0.00,0.00,0.00
GLUE,Monte Rosa Therapeutics Inc,Biotechnology & Medical Research,4.95,4.65,-1.00,-5.00,-1,0,,-1,0,-1,1,1,-27.16,-36.03,-12.61,326.88,1.56,0.91,17.27,0.00,2.88,1.86,30.61,-117.65,35.71,-57.22,0.00,0.00
MLEC,Moolec Science SA,Food & Tobacco,0.64,15.46,-5.00,-52.00,-1,0,,0,0,,,,45.26,29.57,-32.84,--,4.62,128.63,0.00,88.76,-174.68,-31.42,0.00,0.00,0.00,0.00,0.00,0.00
