Symbol,Company Name,Industry,Prior Close,5 Day Chg_x,4 Week Chg_x,52 Week Chg,Refinitiv,Argus Analyst,Argus A6 Quantitative,MarketEdge,Morgan Stanley,SmartConsensus,TipRanks Analyst Consensus,TipRanks Blogger Sentiment,Vs. S&P 500 4 Weeks,Vs. S&P 500 13 Weeks,Vs. S&P 500 52 Weeks,P/E Ratio (TTM)*,Price/Sales Ratio,Price/Book Ratio,Price/Cash Flow,Debt to Capital,Return on Equity,Return on Assets,EPS Growth CFY*,EPS Growth NFY*,Revenue Growth CFY*,Revenue Growth NFY*,Dividend Yield,Dividend Growth 5 Year
MMM,3M Co,Consumer Goods Conglomerates,137.93,0.70%,-5.00%,50.00%,1,1,0.0,1.0,-1,0.0,0.5,1,1.25%,5.21%,34.07%,18.67x,3.29x,18.06x,14.63x,74.87x,94.75%,9.30%,4.79%,8.63%,1.27%,2.89%,1.95%,-8.92%
AOS,A O Smith Corp,"Machinery, Equipment & Components",64.78,-2.95%,-1.00%,-22.00%,1,0,0.0,1.0,0,0.0,0.0,1,-3.14%,5.63%,-28.06%,18.82x,2.52x,5.24x,15.89x,12.70x,27.97%,16.20%,1.34%,10.58%,1.21%,4.33%,2.02%,7.63%
ABT,Abbott Laboratories,Healthcare Equipment & Supplies,129.53,-1.39%,-2.00%,20.00%,0,1,1.0,-1.0,0,0.0,1.0,1,-4.58%,3.40%,13.96%,17.00x,5.40x,4.69x,13.72x,21.25x,30.82%,17.54%,10.49%,10.08%,6.46%,7.69%,1.79%,11.44%
ABBV,AbbVie Inc,Pharmaceuticals,192.34,0.47%,-9.00%,17.00%,0,1,1.0,-1.0,1,0.0,1.0,1,-4.99%,-4.84%,3.89%,77.84x,5.62x,227.06x,25.57x,97.95x,88.15%,2.95%,21.15%,14.44%,6.36%,8.13%,3.59%,7.69%
ACN,Accenture Plc,Software & IT Services,293.25,-2.09%,-4.00%,-5.00%,0,1,0.0,0.5,0,0.0,0.5,1,1.95%,-13.89%,-6.40%,26.11x,2.95x,6.78x,22.02x,14.59x,27.26%,14.10%,6.28%,6.93%,5.75%,5.63%,1.87%,11.31%
ADBE,Adobe Inc,Software & IT Services,368.62,2.38%,-5.00%,-23.00%,1,1,1.0,0.5,1,1.0,0.5,1,7.78%,-4.58%,-22.22%,27.31x,8.01x,13.76x,23.20x,31.97x,47.28%,23.00%,10.53%,12.28%,9.00%,9.69%,0.00%,0.00%
AMD,Advanced Micro Devices Inc,Semiconductors & Semiconductor Equipment ,96.39,-3.72%,-6.00%,-39.00%,0,1,0.0,1.0,0,1.0,0.5,1,10.02%,1.54%,-39.24%,81.16x,6.47x,3.09x,33.85x,6.71x,3.90%,3.15%,19.34%,43.80%,22.53%,17.47%,0.00%,0.00%
AES,AES Corp,Electrical Utilities & IPPs,10.19,-22.34%,-19.00%,-42.00%,0,1,1.0,-0.5,1,1.0,0.5,1,-10.66%,-5.49%,-58.20%,5.28x,0.57x,1.98x,3.83x,78.00x,40.83%,1.05%,0.93%,3.70%,2.92%,2.93%,7.31%,4.79%
AFL,Aflac Inc,Insurance,108.49,-3.15%,-2.00%,29.00%,1,0,0.0,-1.0,0,-1.0,0.0,1,-11.87%,2.88%,6.17%,15.99x,3.28x,2.11x,0.00x,22.52x,14.41%,2.93%,-9.20%,6.71%,-8.80%,1.25%,2.26%,13.12%
A,Agilent Technologies Inc,Healthcare Equipment & Supplies,106.87,-2.42%,-9.00%,-23.00%,1,0,0.0,0.5,0,0.0,0.5,1,-3.78%,-16.04%,-34.82%,25.16x,4.79x,5.19x,20.49x,35.82x,20.61%,11.01%,4.91%,9.19%,3.43%,5.92%,0.90%,7.80%
APD,Air Products and Chemicals Inc,Chemicals,269.45,-1.89%,-9.00%,13.00%,0,0,0.0,0.5,0,0.0,0.5,1,-5.98%,-10.29%,-7.58%,38.78x,4.98x,4.08x,19.47x,48.59x,10.45%,4.24%,-3.70%,7.77%,-1.18%,4.84%,2.66%,9.04%
ABNB,Airbnb Inc,Software & IT Services,123.30,-6.68%,2.00%,-25.00%,0,1,0.0,1.0,-1,1.0,0.0,1,-1.53%,-13.93%,-18.74%,32.24x,7.01x,10.10x,30.14x,20.10x,32.06%,10.24%,2.19%,14.29%,8.27%,9.68%,0.00%,0.00%
AKAM,Akamai Technologies Inc,Software & IT Services,80.18,0.75%,0.00%,-22.00%,1,0,1.0,-0.5,0,0.0,0.5,1,-8.63%,-17.66%,-26.52%,26.00x,2.80x,2.46x,10.07x,43.63x,9.82%,4.55%,-2.78%,5.87%,3.51%,5.17%,0.00%,0.00%
ALB,Albemarle Corp,Chemicals,58.55,-3.95%,-20.00%,-51.00%,-1,1,0.0,0.5,-1,0.0,0.0,1,-6.49%,-26.47%,-58.39%,0,1.34x,0.87x,0.00x,25.62x,-15.30%,-9.45%,38.46%,0.00%,-9.70%,10.27%,2.80%,2.29%
ARE,Alexandria Real Estate Equities Inc,Residential & Commercial REITs,76.98,-4.12%,-21.00%,-35.00%,0,0,0.0,-1.0,0,-1.0,0.0,1,-16.63%,-24.78%,-49.24%,90.08x,3.68x,0.67x,7.48x,37.31x,0.73%,0.88%,-4.44%,34.30%,-7.34%,2.31%,7.70%,5.51%
ALGN,Align Technology Inc,Healthcare Equipment & Supplies,181.09,-7.56%,15.00%,-41.00%,0,0,1.0,1.0,1,0.0,0.5,1,-12.06%,-8.74%,-39.95%,31.40x,3.14x,3.32x,22.31x,0.00x,10.84%,6.68%,10.40%,9.22%,3.66%,5.59%,0.00%,0.00%
ALLE,Allegion PLC,Communications & Networking,137.26,-0.90%,6.00%,10.00%,1,0,1.0,0.5,0,0.0,-0.5,1,-4.69%,16.68%,4.54%,19.87x,3.19x,7.59x,16.42x,55.41x,42.05%,14.05%,3.98%,7.66%,3.91%,4.70%,1.44%,12.20%
LNT,Alliant Energy Corp,Electrical Utilities & IPPs,60.90,-0.81%,-4.00%,22.00%,0,1,1.0,0.5,0,0.0,0.0,1,-6.30%,4.02%,8.67%,21.12x,3.85x,2.22x,10.21x,59.98x,10.71%,3.38%,19.33%,6.85%,8.18%,4.89%,3.32%,6.22%
ALL,Allstate Corp,Insurance,195.41,-1.34%,-7.00%,13.00%,1,1,0.0,1.0,1,1.0,1.0,1,-2.42%,12.10%,10.71%,13.85x,0.82x,2.68x,12.09x,26.83x,21.41%,3.63%,-2.13%,20.52%,6.95%,8.18%,1.98%,13.24%
GOOGL,Alphabet Inc,Software & IT Services,160.61,4.21%,5.00%,-6.00%,1,1,1.0,1.0,1,1.0,1.0,1,0.72%,-3.05%,-12.00%,19.25x,5.78x,6.02x,16.25x,3.88x,34.98%,25.28%,19.03%,6.17%,10.39%,10.46%,0.49%,0.00%
MO,Altria Group Inc,Food & Tobacco,58.19,2.14%,0.00%,34.00%,0,0,1.0,-0.5,0,0.0,0.0,1,-5.17%,14.30%,16.30%,9.92x,4.21x,0.00x,9.51x,115.31x,0.00%,28.27%,5.27%,2.41%,-1.46%,0.00%,6.88%,-0.40%
AMZN,Amazon.com Inc,Diversified Retail,187.70,-1.01%,-2.00%,5.00%,1,1,0.0,1.0,1,1.0,1.0,1,2.22%,-4.58%,0.75%,33.12x,3.32x,7.05x,17.77x,19.95x,25.24%,11.23%,11.57%,17.34%,8.85%,9.53%,0.00%,0.00%
AMCR,Amcor PLC,Containers & Packaging,9.63,-3.01%,-1.00%,6.00%,0,0,0.0,-1.0,1,-1.0,1.0,1,-12.24%,-8.99%,-18.54%,16.19x,1.55x,3.39x,15.40x,69.51x,20.68%,4.71%,0.00%,0.00%,0.00%,0.00%,5.65%,-3.02%
AEE,Ameren Corp,Multiline Utilities,98.89,-1.47%,-1.00%,33.00%,0,1,1.0,-1.0,0,0.0,0.5,0,-9.46%,2.77%,18.39%,21.16x,3.26x,2.11x,9.07x,61.38x,10.23%,2.79%,6.91%,7.07%,7.15%,5.25%,2.98%,6.90%
AEP,American Electric Power Company Inc,Electrical Utilities & IPPs,107.06,0.19%,0.00%,25.00%,0,1,1.0,-1.0,1,1.0,0.5,1,-10.43%,2.16%,1.09%,19.65x,2.70x,1.99x,9.06x,62.83x,10.39%,2.64%,4.45%,7.16%,7.90%,3.37%,3.65%,5.67%
AXP,American Express Co,Banking Services,264.95,-4.13%,0.00%,12.00%,0,1,1.0,1.0,0,0.0,0.5,1,0.86%,-1.03%,8.66%,20.06x,2.77x,6.45x,16.85x,86.46x,33.83%,3.73%,13.78%,14.29%,8.14%,8.01%,1.14%,11.03%
AIG,American International Group Inc,Insurance,81.93,-1.45%,-3.00%,9.00%,0,1,1.0,-0.5,0,1.0,0.5,1,-6.60%,12.64%,-5.58%,20.46x,1.73x,1.15x,7.69x,17.43x,5.91%,0.74%,27.88%,23.70%,1.74%,3.14%,2.19%,4.04%
AMT,American Tower Corp,Residential & Commercial REITs,211.30,-0.67%,-2.00%,23.00%,0,1,0.0,-1.0,1,0.0,1.0,1,-6.40%,14.45%,-0.17%,33.98x,9.67x,27.85x,14.46x,78.77x,76.39%,4.55%,28.84%,15.30%,1.98%,4.71%,3.23%,12.69%
AWK,American Water Works Co Inc,Water Utilities,144.27,1.05%,-2.00%,19.00%,0,1,0.0,-1.0,0,0.0,0.0,1,-8.81%,15.44%,-3.66%,25.83x,5.75x,2.63x,14.66x,57.81x,10.43%,3.33%,7.74%,7.36%,7.25%,6.28%,2.33%,8.96%
AMP,"Ameriprise Financial, Inc.",Investment Banking & Investment Services,468.38,-2.18%,-3.00%,14.00%,1,1,1.0,1.0,0,1.0,0.5,1,0.64%,-1.63%,5.41%,17.28x,2.68x,8.95x,0.00x,88.52x,58.11%,1.67%,6.96%,7.70%,2.74%,4.94%,1.26%,8.73%
AME,Ametek Inc,"Machinery, Equipment & Components",166.29,-0.93%,-2.00%,-6.00%,1,0,0.0,1.0,0,0.0,0.5,1,0.23%,-0.96%,-6.86%,29.24x,5.94x,4.13x,22.80x,16.23x,14.96%,9.53%,3.51%,7.36%,1.54%,4.66%,0.69%,14.87%
AMGN,Amgen Inc,Pharmaceuticals,283.09,0.08%,-9.00%,4.00%,0,1,1.0,-1.0,0,0.0,0.5,1,-8.78%,-4.43%,-20.17%,24.82x,4.28x,23.55x,12.67x,90.24x,105.67%,6.51%,5.29%,2.87%,5.62%,1.69%,3.50%,9.18%
APH,Amphenol Corp,Electronic Equipment & Parts,75.88,-0.83%,14.00%,26.00%,0,0,1.0,1.0,0,1.0,1.0,1,5.28%,28.70%,15.11%,41.32x,6.15x,10.01x,30.89x,40.86x,27.53%,13.29%,40.74%,9.77%,32.94%,7.61%,0.77%,18.04%
ADI,Analog Devices Inc,Semiconductors & Semiconductor Equipment ,193.72,-6.69%,-3.00%,-4.00%,0,1,0.0,1.0,1,1.0,0.5,1,1.92%,-8.98%,-19.84%,67.75x,11.26x,3.00x,28.76x,17.75x,4.42%,3.24%,15.67%,19.11%,12.08%,11.70%,1.87%,11.51%
ANSS,ANSYS Inc,Software & IT Services,318.00,0.04%,1.00%,-4.00%,0,0,0.0,1.0,0,1.0,0.0,1,1.98%,5.70%,-4.35%,51.01x,11.70x,4.89x,40.97x,10.88x,10.23%,7.84%,7.70%,9.79%,9.49%,9.98%,0.00%,0.00%
AON,Aon PLC,Insurance,343.47,-0.91%,-15.00%,18.00%,0,0,1.0,-1.0,0,-1.0,0.5,1,-8.61%,-5.34%,13.40%,30.27x,4.69x,10.96x,22.05x,70.79x,74.17%,5.73%,8.01%,12.58%,9.92%,6.12%,0.84%,8.95%
APA,APA Corp (US),Oil & Gas,16.55,-5.74%,-22.00%,-50.00%,0,0,1.0,-1.0,-1,0.0,0.0,1,-3.34%,-25.79%,-49.53%,6.05x,0.58x,1.11x,1.59x,45.37x,25.34%,7.91%,-22.55%,-4.45%,-1.62%,-2.79%,5.97%,0.00%
APO^A10,Apollo Global Management Inc,Collective Investments ,136.36,-9.15%,-3.00%,19.00%,0,1,0.0,1.0,0,1.0,1.0,1,-7.88%,-12.64%,4.38%,23.14x,3.38x,4.50x,11.34x,29.67x,22.50%,1.52%,4.58%,20.59%,-28.84%,18.57%,1.56%,-2.09%
AAPL,Apple Inc,"Computers, Phones & Household Electronics",210.14,-4.77%,-4.00%,24.00%,0,1,1.0,0.5,1,0.0,0.5,1,-9.27%,-14.23%,-4.18%,28.44x,7.51x,45.04x,25.26x,59.51x,152.55%,32.17%,6.22%,8.79%,4.10%,5.77%,0.52%,5.50%
AMAT,Applied Materials Inc,Semiconductors & Semiconductor Equipment ,150.79,-8.14%,4.00%,-25.00%,1,1,0.0,1.0,-1,1.0,1.0,1,0.36%,-4.50%,-33.16%,19.56x,4.64x,6.88x,18.19x,24.82x,36.37%,20.61%,9.60%,6.54%,5.92%,5.71%,1.15%,11.92%
APTV,Aptiv PLC,Automobiles & Auto Parts,56.28,-1.66%,-8.00%,-21.00%,1,1,0.0,1.0,-1,1.0,0.5,1,14.19%,3.71%,-25.55%,11.09x,0.74x,1.67x,5.59x,46.01x,15.52%,6.99%,12.94%,10.33%,-0.50%,4.00%,0.00%,0.00%
ACGL,Arch Capital Group Ltd,Insurance,91.19,-1.68%,-5.00%,0.00%,1,0,0.0,1.0,1,1.0,0.5,1,-6.25%,8.15%,-14.45%,9.44x,1.93x,1.67x,9.01x,11.24x,18.99%,5.23%,-15.63%,19.28%,11.86%,6.33%,0.00%,0.00%
ADM,Archer-Daniels-Midland Co,Food & Tobacco,48.05,-1.84%,1.00%,-20.00%,0,0,0.0,1.0,0,0.0,-0.5,1,-7.69%,7.89%,-29.62%,17.05x,0.27x,1.04x,9.22x,33.08x,6.03%,2.50%,-15.82%,13.03%,-1.35%,2.73%,4.25%,7.39%
ANET,Arista Networks Inc,Communications & Networking,78.31,-3.65%,0.00%,18.00%,1,1,1.0,1.0,1,1.0,0.5,1,15.42%,-6.26%,6.27%,39.16x,15.63x,11.49x,37.64x,0.00x,33.68%,24.16%,12.33%,16.47%,19.43%,17.49%,0.00%,0.00%
AJG,Arthur J. Gallagher & Co.,Insurance,323.81,-0.83%,-5.00%,38.00%,0,1,1.0,-1.0,0,0.0,0.5,1,-4.99%,8.05%,18.28%,51.58x,7.14x,3.85x,35.00x,36.93x,9.27%,2.32%,9.91%,22.63%,23.33%,22.91%,0.78%,6.69%
AIZ,Assurant Inc,Insurance,192.29,-3.24%,-8.00%,10.00%,0,0,1.0,0.5,0,1.0,1.0,1,-6.20%,0.57%,3.44%,15.06x,0.81x,1.87x,11.07x,28.47x,13.20%,1.97%,-1.14%,18.42%,5.84%,4.49%,1.66%,4.02%
T,AT&T Inc,Telecommunications Services,27.26,-0.37%,-5.00%,60.00%,1,1,0.0,-1.0,1,0.0,1.0,1,-7.14%,9.04%,41.35%,16.72x,1.59x,1.89x,5.80x,50.87x,11.28%,3.31%,-8.85%,9.22%,1.54%,1.37%,4.08%,-11.46%
ATO,Atmos Energy Corp,Natural Gas Utilities,158.73,-0.44%,4.00%,35.00%,0,1,1.0,1.0,1,1.0,0.5,1,-8.69%,10.16%,20.38%,21.60x,5.50x,1.88x,13.40x,39.30x,9.18%,4.46%,5.71%,7.89%,12.02%,12.60%,2.24%,8.92%
ADSK,Autodesk Inc,Software & IT Services,271.47,-0.26%,3.00%,24.00%,0,1,0.0,1.0,1,1.0,1.0,1,1.93%,6.15%,21.83%,57.57x,10.29x,24.09x,48.85x,46.60x,49.69%,10.72%,12.87%,14.85%,13.31%,11.30%,0.00%,0.00%
ADP,Automatic Data Processing Inc,Software & IT Services,293.57,1.84%,-3.00%,20.00%,0,1,1.0,1.0,0,1.0,0.0,1,2.52%,7.97%,15.03%,32.93x,6.46x,22.32x,28.72x,40.49x,76.29%,6.63%,8.71%,9.02%,6.66%,5.59%,1.92%,12.36%
AZO,Autozone Inc,Other Specialty Retailers,"3,617.91",2.68%,-4.00%,23.00%,1,0,0.0,1.0,1,0.0,1.0,1,0.38%,18.63%,26.44%,25.83x,3.46x,0.00x,20.29x,197.03x,0.00%,14.97%,0.43%,13.38%,1.65%,6.24%,0.00%,0.00%
AVB,AvalonBay Communities Inc,Residential & Commercial REITs,207.80,-2.78%,-4.00%,7.00%,0,1,-1.0,0.5,0,1.0,0.5,1,-9.23%,-4.60%,-8.12%,24.88x,9.66x,2.39x,14.24x,41.12x,9.67%,5.47%,-23.82%,-0.69%,4.58%,5.22%,3.50%,0.62%
AVY,Avery Dennison Corp,Containers & Packaging,170.23,-0.86%,-3.00%,-22.00%,0,0,0.0,0.5,0,0.0,0.5,1,-2.50%,2.46%,-28.55%,20.73x,1.61x,6.53x,13.93x,61.45x,31.95%,8.41%,2.23%,11.41%,1.07%,3.97%,2.09%,8.83%
AXON,Axon Enterprise Inc,Aerospace & Defense,602.46,-0.64%,14.00%,191.00%,1,1,0.0,1.0,1,1.0,1.0,1,15.04%,39.88%,130.80%,175.84x,25.31x,22.04x,142.15x,43.98x,15.17%,6.84%,2.86%,23.08%,27.58%,22.53%,0.00%,0.00%
BKR,Baker Hughes Co,Oil & Gas Related Equipment and Services,36.21,-3.02%,-15.00%,11.00%,0,1,0.0,-1.0,1,0.0,1.0,1,-5.57%,-18.32%,3.58%,12.51x,1.30x,2.13x,8.86x,25.93x,18.04%,7.85%,2.13%,14.17%,-2.87%,3.59%,2.51%,3.13%
BALL,Ball Corp,Containers & Packaging,50.51,-0.09%,-2.00%,-28.00%,1,0,0.0,1.0,1,0.0,0.5,1,-0.91%,10.67%,-30.92%,30.35x,1.23x,2.71x,13.36x,54.67x,8.23%,2.66%,11.67%,12.71%,3.10%,2.84%,1.50%,7.78%
BAC,Bank of America Corp,Banking Services,39.78,-2.41%,-4.00%,5.00%,1,1,1.0,1.0,1,1.0,1.0,1,2.73%,0.12%,-1.05%,12.93x,3.15x,1.19x,11.42x,0.00x,9.76%,0.84%,10.94%,16.99%,5.98%,5.44%,2.40%,8.67%
BK,Bank of New York Mellon Corp,Investment Banking & Investment Services,78.91,-0.23%,-5.00%,37.00%,1,1,1.0,1.0,1,1.0,0.5,1,6.36%,7.14%,37.38%,14.54x,3.38x,1.69x,10.09x,0.00x,12.25%,1.08%,12.44%,12.09%,3.14%,3.13%,2.11%,8.57%
BAX,Baxter International Inc,Healthcare Equipment & Supplies,30.53,-2.48%,-10.00%,-25.00%,0,1,1.0,0.5,-1,0.0,0.5,1,-6.55%,-5.21%,-19.95%,0,1.44x,2.19x,22.03x,58.82x,-3.63%,-1.09%,33.33%,7.94%,6.99%,4.19%,2.25%,4.12%
BDX,Becton Dickinson and Co,Healthcare Equipment & Supplies,204.63,0.02%,-10.00%,-11.00%,0,1,1.0,-1.0,1,0.0,0.0,1,-20.87%,-20.84%,-33.24%,33.37x,2.37x,1.96x,12.77x,43.29x,5.89%,2.76%,7.99%,3.17%,7.86%,4.88%,2.41%,4.29%
BRK/A,Berkshire Hathaway Inc,Consumer Goods Conglomerates,"797,750.00",-0.38%,1.00%,31.00%,1,0,,0.0,0,,0.5,1,-10.93%,9.53%,9.90%,13.44x,2.93x,1.67x,11.51x,16.09x,13.20%,7.29%,-8.45%,5.58%,3.65%,3.20%,0.00%,0.00%
BBY,Best Buy Co Inc,Other Specialty Retailers,67.48,-2.86%,-7.00%,-10.00%,0,0,0.0,0.5,0,0.0,0.5,1,0.66%,-18.52%,-8.82%,16.54x,0.36x,5.33x,8.37x,29.13x,31.63%,6.21%,-3.45%,9.43%,-0.22%,1.86%,5.37%,13.91%
TECH,BIO-TECHNE Corp,Biotechnology & Medical Research,50.25,-1.91%,-14.00%,-22.00%,-1,1,1.0,0.5,0,0.0,0.5,1,-12.51%,-24.34%,-48.20%,57.68x,6.14x,3.68x,30.59x,14.05x,6.53%,4.91%,8.47%,9.38%,5.05%,6.33%,0.68%,0.00%
BIIB,Biogen Inc,Pharmaceuticals,119.12,2.10%,-14.00%,-43.00%,0,0,0.0,0.5,0,0.0,0.5,1,-0.78%,-3.52%,-49.05%,12.47x,1.89x,1.09x,8.38x,27.06x,9.19%,5.42%,-9.11%,3.41%,-4.20%,-1.83%,0.00%,0.00%
BLK,BlackRock Inc,Investment Banking & Investment Services,913.74,-1.34%,-4.00%,19.00%,0,1,1.0,1.0,1,0.0,1.0,1,-0.62%,2.65%,10.19%,23.56x,7.17x,3.13x,21.42x,19.75x,14.37%,4.82%,0.00%,0.00%,0.00%,0.00%,2.15%,9.10%
BX,Blackstone Inc,Investment Banking & Investment Services,133.58,-6.69%,-4.00%,8.00%,-1,1,1.0,1.0,1,1.0,0.5,1,-4.45%,-12.52%,-1.81%,41.42x,12.95x,12.67x,32.06x,38.54x,34.07%,11.89%,4.53%,31.96%,3.96%,28.85%,2.96%,5.51%
BA,Boeing Co,Aerospace & Defense,182.30,-1.37%,3.00%,6.00%,0,0,-1.0,1.0,0,0.0,0.5,1,8.35%,17.76%,-0.80%,0,2.21x,0.00x,0.00x,106.61x,0.00%,-7.91%,91.95%,0.00%,26.04%,17.18%,0.00%,0.00%
BKNG,Booking Holdings Inc,Hotels & Entertainment Services,"4,889.95",1.99%,4.00%,37.00%,1,1,1.0,1.0,0,1.0,0.5,1,3.88%,11.47%,26.86%,33.24x,7.22x,0.00x,28.75x,161.66x,0.00%,19.81%,14.80%,14.77%,8.66%,8.07%,0.72%,0.00%
BSX,Boston Scientific Corp,Healthcare Equipment & Supplies,102.18,-0.34%,3.00%,39.00%,0,1,1.0,1.0,1,1.0,1.0,1,-3.00%,3.86%,25.95%,76.60x,8.81x,6.96x,46.62x,33.50x,9.64%,5.27%,15.94%,13.06%,16.39%,10.75%,0.00%,0.00%
BMY,Bristol-Myers Squibb Co,Pharmaceuticals,48.46,2.66%,-20.00%,7.00%,0,0,1.0,-1.0,-1,0.0,0.0,1,-9.32%,-11.73%,0.90%,17.66x,2.01x,5.50x,7.08x,74.02x,31.99%,5.68%,498.26%,-10.90%,-4.24%,-7.06%,5.27%,7.91%
AVGO,Broadcom Inc,Semiconductors & Semiconductor Equipment ,192.47,-0.91%,14.00%,43.00%,0,1,1.0,1.0,1,1.0,1.0,1,15.03%,6.47%,50.42%,107.52x,19.88x,15.53x,53.56x,48.82x,14.85%,6.06%,34.91%,17.81%,20.95%,15.89%,1.02%,14.71%
BR,Broadridge Financial Solutions Inc,Professional & Commercial Services  ,237.18,-0.95%,0.00%,22.00%,1,0,0.0,1.0,0,0.0,0.5,1,-6.15%,5.49%,6.02%,35.79x,4.13x,11.71x,25.87x,59.04x,33.92%,9.17%,9.96%,8.82%,5.77%,4.80%,1.48%,10.53%
BRO,Brown & Brown Inc,Insurance,114.88,-0.12%,-7.00%,40.00%,1,1,1.0,-1.0,0,0.0,0.0,1,-11.96%,3.57%,10.05%,30.85x,6.39x,4.65x,24.78x,35.75x,16.18%,6.61%,8.59%,8.87%,8.26%,8.31%,0.54%,10.69%
BF/B,Brown-Forman Corp,Beverages,34.11,-3.79%,-1.00%,-29.00%,0,0,1.0,0.0,-1,-1.0,0.0,1,-7.15%,15.70%,-33.92%,16.38x,3.99x,4.23x,15.01x,42.82x,27.99%,12.13%,-14.95%,2.75%,-3.08%,1.99%,2.65%,5.49%
BLDR,"Builders FirstSource, Inc.",Homebuilding & Construction Supplies,121.50,-6.88%,-3.00%,-35.00%,0,0,0.0,0.5,0,0.0,1.0,0,-14.71%,-20.34%,-39.88%,14.10x,0.75x,2.86x,8.19x,50.60x,19.62%,8.10%,-29.93%,12.47%,-0.19%,2.61%,0.00%,0.00%
BG,Bunge Global SA,Food & Tobacco,80.66,-2.77%,6.00%,-21.00%,1,0,0.0,1.0,0,0.0,0.5,1,-9.60%,14.33%,-31.47%,9.87x,0.20x,0.99x,6.47x,36.69x,10.36%,4.34%,0.00%,0.00%,0.00%,0.00%,3.60%,6.21%
BXP,BXP Inc,Residential & Commercial REITs,66.24,-3.51%,-3.00%,7.00%,0,0,0.0,0.5,0,0.0,0.5,1,-8.11%,-2.72%,-4.89%,0,2.98x,1.92x,10.74x,67.14x,-0.08%,0.25%,-18.67%,-1.64%,0.26%,2.78%,6.07%,0.50%
CDNS,Cadence Design Systems Inc,Software & IT Services,285.74,-0.67%,13.00%,3.00%,0,0,0.0,1.0,1,0.0,1.0,1,5.50%,22.70%,-1.78%,80.19x,17.74x,18.10x,66.93x,34.15x,25.92%,14.68%,13.57%,14.60%,12.10%,11.83%,0.00%,0.00%
CZR,Caesars Entertainment Inc,Hotels & Entertainment Services,28.06,-8.05%,11.00%,-22.00%,0,0,0.0,1.0,0,-1.0,0.5,1,-3.70%,-22.71%,-27.08%,0,0.51x,1.46x,4.88x,85.43x,-5.56%,-0.51%,0.00%,244.44%,2.34%,2.54%,0.00%,0.00%
CPT,Camden Property Trust,Residential & Commercial REITs,114.22,-3.04%,-7.00%,14.00%,1,0,-1.0,0.5,0,0.0,0.5,1,-5.80%,-0.86%,-1.36%,105.21x,7.88x,2.70x,16.86x,44.35x,2.47%,1.39%,-14.00%,18.60%,2.08%,3.41%,3.67%,0.56%
CPB,Campbell's Co,Food & Tobacco,35.84,-2.43%,-9.00%,12.00%,0,1,0.0,-1.0,0,0.0,0.0,1,-12.79%,-9.21%,-33.06%,19.65x,1.01x,2.60x,10.61x,66.24x,13.43%,3.72%,-3.25%,3.02%,6.85%,-1.27%,4.57%,1.12%
COF,Capital One Financial Corp,Banking Services,183.13,-4.53%,5.00%,25.00%,0,1,1.0,1.0,0,1.0,0.5,1,-4.33%,-3.86%,22.85%,15.84x,1.82x,1.23x,9.16x,0.00x,8.18%,1.00%,-6.52%,50.65%,34.09%,19.39%,1.27%,8.45%
CAH,Cardinal Health Inc,Pharmaceuticals,138.24,0.36%,1.00%,33.00%,0,1,0.0,1.0,1,1.0,1.0,0,5.39%,25.36%,43.82%,23.83x,0.16x,0.00x,15.64x,132.83x,0.00%,3.26%,7.97%,11.69%,-1.56%,9.07%,1.34%,1.05%
KMX,Carmax Inc,Other Specialty Retailers,65.11,-6.89%,-14.00%,-7.00%,-1,0,0.0,-1.0,1,0.0,0.5,1,-9.63%,-22.66%,-17.67%,19.73x,0.37x,1.55x,12.11x,75.16x,8.13%,1.83%,13.76%,16.67%,4.37%,5.19%,0.00%,0.00%
CCL,Carnival Corp,Hotels & Entertainment Services,18.86,-2.48%,-6.00%,23.00%,1,1,0.0,1.0,0,0.0,0.5,1,12.61%,-4.37%,30.20%,14.93x,1.14x,3.20x,6.26x,74.64x,25.87%,4.17%,32.39%,14.36%,4.31%,3.68%,0.00%,0.00%
CARR,Carrier Global Corp,"Machinery, Equipment & Components",60.49,-2.33%,-5.00%,-1.00%,0,1,0.0,1.0,0,1.0,1.0,1,11.72%,11.99%,-0.23%,48.33x,2.76x,4.45x,22.97x,44.06x,10.57%,3.76%,0.00%,0.00%,0.00%,0.00%,1.25%,0.00%
CAT,Caterpillar Inc,"Machinery, Equipment & Components",307.06,-1.32%,-7.00%,-11.00%,1,1,1.0,1.0,0,0.0,0.5,1,5.61%,3.53%,-11.90%,16.82x,2.57x,9.00x,13.46x,68.11x,55.67%,11.73%,-14.75%,11.57%,-2.86%,5.09%,1.63%,7.47%
CBOE,Cboe Global Markets Inc,Investment Banking & Investment Services,212.19,4.23%,-4.00%,20.00%,1,0,1.0,1.0,-1,0.0,0.0,0,0.83%,14.50%,12.77%,29.95x,5.52x,5.37x,25.66x,24.46x,18.93%,9.58%,11.15%,5.22%,9.38%,4.28%,1.10%,11.99%
CBRE,CBRE Group Inc,Real Estate Operations,121.36,-7.55%,-7.00%,38.00%,0,0,1.0,0.5,1,0.0,1.0,1,-7.99%,-10.98%,22.09%,36.78x,0.98x,4.36x,20.26x,43.13x,12.15%,4.37%,16.86%,18.46%,12.03%,9.01%,0.00%,0.00%
